time,rolling_profit_factor,rolling_expectancy,rolling_win_rate
2015-05-26,0.8252663309104711,-2.8830237066094573,0.3333333333333333
2015-06-10,0.7043358268028581,-5.138694635225681,0.3
2015-06-18,0.6230245346036557,-6.880029766816699,0.26666666666666666
2015-08-10,0.8470403183516144,-2.7893631001500263,0.3
2015-09-29,0.9896600846605292,-0.19405877950957268,0.3
2016-01-13,0.9636768462311233,-0.6408815115272276,0.3333333333333333
2017-05-17,0.5473341262010334,-10.022799426003418,0.16666666666666666
2017-06-15,0.1838830444686757,-19.40683196966184,0.13333333333333333
2017-06-15,0.18668043440704635,-19.05049863632851,0.13333333333333333
2017-07-17,0.21125633574503694,-17.42828693472098,0.16666666666666666
2017-07-17,0.22109830447423798,-16.444694031878317,0.16666666666666666
2017-09-18,0.39702527676471905,-12.356360698544991,0.2
2017-09-18,0.5392830682410061,-9.236300758039844,0.23333333333333334
2017-10-10,0.5414132702031184,-9.157422778594142,0.23333333333333334
2017-10-13,0.5713353234647376,-8.111614446043896,0.23333333333333334
2017-10-13,0.5848270895024861,-7.675067531887043,0.23333333333333334
2017-12-05,0.5674625060889766,-8.240759996829574,0.23333333333333334
2017-12-20,0.5576282716920471,-8.576759996829573,0.23333333333333334
2018-02-06,0.699869543651757,-5.800759996829563,0.26666666666666666
2018-02-06,0.8278447785104837,-3.2269150771959754,0.3
2018-02-14,0.825960560913311,-3.2696752135770084,0.3
2018-04-23,0.8217279543254714,-3.366444331470178,0.3
2018-04-23,0.8403857497948959,-2.947197453160967,0.3
2018-08-24,0.9180843933142341,-1.5125307864943016,0.3
2018-12-03,0.9658699791341059,-0.7448711132334442,0.3
2021-11-02,0.8305483839648786,-4.936376531549107,0.26666666666666666
2021-11-03,0.3746530727128706,-18.709638606267426,0.23333333333333334
2021-11-22,0.3828612732659206,-18.06820619866215,0.23333333333333334
2021-11-22,0.4032456646282894,-16.58821109041562,0.23333333333333334
2021-11-23,0.40365392650469933,-16.560096379885486,0.23333333333333334
2021-12-16,0.41988028940365096,-15.486946965910146,0.23333333333333334
2021-12-16,0.3998592647361563,-16.823626587801904,0.23333333333333334
2021-12-22,0.4393453909086212,-14.677444301155555,0.26666666666666666
2021-12-22,0.4626778200493794,-13.357254665161575,0.26666666666666666
2022-01-06,0.3968489145939489,-15.867254665161575,0.23333333333333334
2022-01-06,0.39423272508349455,-16.041833747533328,0.23333333333333334
2022-01-06,0.3706258534894114,-17.728584568236005,0.23333333333333334
2022-01-27,0.2486785704023813,-22.594082838419514,0.2
2022-01-27,0.11740582787985876,-27.69716741747579,0.16666666666666666
2022-01-27,0.07782836721894164,-30.254800750809125,0.13333333333333333
2022-03-15,0.09960718110956535,-29.540276847202765,0.13333333333333333
2022-03-15,0.10436736345088828,-28.560480011880408,0.16666666666666666
2022-03-15,0.1443181442274654,-26.882216849313508,0.2
2022-03-15,0.1917778330659414,-25.391216849313498,0.2
2022-04-21,0.19250789094237172,-25.272075775040797,0.2
2022-07-28,0.2443990807641422,-22.49069736564524,0.23333333333333334
2022-07-28,0.332237964686974,-18.77830603681911,0.26666666666666666
2022-07-28,0.4906823188993447,-14.19956097037171,0.3
2022-07-28,0.5657334377539012,-12.107167602509662,0.3
2022-08-17,0.5987557036502397,-10.569567602509666,0.3
2022-08-17,0.6118663772108938,-10.00512892697459,0.3
2022-08-18,0.6139781121209416,-9.916468884747806,0.3
2022-09-12,0.6094672091720797,-10.106602218081138,0.3
2022-09-12,0.6097240034870794,-10.09570288862754,0.3
2022-10-03,0.6762627935280396,-7.967538394532296,0.3333333333333333
2022-10-03,0.7533535599165303,-5.9704050611989725,0.36666666666666664
2022-10-11,0.7210055760502156,-7.05642435195117,0.36666666666666664
2022-12-30,0.9549738595406725,-1.0844567595564476,0.4
