exit_time,net_pl,return
2014-01,-58.1706275178321,-0.002908531375891605
2014-03,135.54271281380346,0.006777135640690173
2014-04,-66.89246487245455,-0.0033446232436227276
2014-05,-30.11418866717404,-0.001505709433358702
2014-06,-16.442940097313837,-0.0008221470048656919
2014-07,-89.8685176264859,-0.0044934258813242945
2014-08,-26.22653106120979,-0.0013113265530604896
2014-10,135.3494782273084,0.00676747391136542
2014-11,-4.205700837336325,-0.00021028504186681624
2014-12,-82.24484032765095,-0.0041122420163825476
2015-01,64.16702506882443,0.0032083512534412215
2015-03,86.97217455627792,0.004348608727813896
2015-04,-106.80575710245981,-0.005340287855122991
2015-05,-57.96014117545674,-0.002898007058772837
2015-06,-52.53215644322718,-0.002626607822161359
2015-08,226.52913188526702,0.01132645659426335
2015-09,-99.40526179855024,-0.004970263089927512
2015-10,-56.38974282125201,-0.0028194871410626003
2015-12,148.05802965977927,0.007402901482988963
2016-01,-51.10343259627843,-0.0025551716298139217
2016-03,517.9776735964193,0.025898883679820964
2016-04,-38.509999999999856,-0.0019254999999999928
2016-05,-39.806351048226,-0.0019903175524113
2016-06,-124.63979681797106,-0.006231989840898553
2016-07,-44.014249976507564,-0.002200712498825378
2016-08,-40.07000000000003,-0.0020035000000000014
2016-09,-62.30989832356313,-0.0031154949161781567
2016-10,-41.04604277650405,-0.0020523021388252024
2016-11,-91.28026641028129,-0.0045640133205140645
2016-12,119.76954938259752,0.005988477469129876
2017-01,-12.369108097040726,-0.0006184554048520363
2017-03,-131.02850119941422,-0.006551425059970711
2017-04,-3.1168664173686915,-0.00015584332086843457
2017-05,-74.35080504135709,-0.0037175402520678545
2017-06,-78.27129265770591,-0.003913564632885296
2017-07,-10.887510147901274,-0.0005443755073950637
2017-09,190.37194595933224,0.009518597297966612
2017-10,-64.84789897881825,-0.0032423949489409124
2017-12,-119.45967969591108,-0.0059729839847955535
2018-02,87.67534505330595,0.004383767252665297
2018-04,-53.45479664500267,-0.0026727398322501338
2018-08,299.752082921892,0.0149876041460946
2018-10,-99.03553522427592,-0.004951776761213796
2018-11,-49.61505053861602,-0.0024807525269308008
2018-12,-49.809526882753474,-0.002490476344137674
2019-02,279.395459924334,0.0139697729962167
2019-03,-144.8180116033492,-0.00724090058016746
2019-05,-92.84853417878222,-0.004642426708939111
2019-09,708.758927996643,0.03543794639983215
2019-10,-46.0255078349604,-0.00230127539174802
2019-12,-33.11625281345728,-0.001655812640672864
2020-03,101.99075439543603,0.0050995377197718015
2020-04,129.85685839496995,0.006492842919748497
2020-08,296.57503351719953,0.014828751675859977
2020-09,657.8925527362769,0.03289462763681385
2020-10,-55.46199999999999,-0.0027730999999999993
2020-11,-55.957358488560295,-0.002797867924428015
2020-12,-116.00834049347989,-0.005800417024673994
2021-01,-81.6163555442147,-0.004080817777210735
2021-02,-54.30754178210053,-0.0027153770891050265
2021-04,-34.90599747466654,-0.001745299873733327
2021-06,256.6842704584749,0.012834213522923745
2021-07,-21.968687583313695,-0.0010984343791656847
2021-08,-99.70337834237245,-0.004985168917118622
2021-09,-138.59155565493168,-0.006929577782746584
2021-10,-134.34753363108408,-0.006717376681554203
2021-11,-213.16032603359454,-0.010658016301679727
2021-12,-67.65057528424197,-0.003382528764212098
2022-01,-279.81372386286506,-0.013990686193143254
2022-03,141.08217216230784,0.007054108608115392
2022-04,-55.335737679587886,-0.0027667868839793943
2022-07,243.95774194002516,0.012197887097001259
2022-08,-126.90072229001481,-0.0063450361145007406
2022-09,-98.14044210590359,-0.004907022105295179
2022-10,-30.404770210191273,-0.0015202385105095636
2022-12,449.6863988964151,0.022484319944820755
