entry_window,stop_atr_multiplier,pyramid_atr_interval,risk_per_unit_pct,config_count,expectancy_median,expectancy_min,profit_factor_median,net_profit_median,max_drawdown_pct_median,win_rate_median,positive_both_symbols_rate,drawdown_gate_rate,max_exposure_pct_median,neighbor_expectancy_median,neighbor_drawdown_median,cliff_score,classification,classification_reason
15,2.0,0.75,0.005,86,10.16482237765746,-1.2421115603787394,1.2126975991406388,1915.7792484749589,0.144053129223884,0.3333333333333333,0.8604651162790697,1.0,1.353273606445955,12.750332282402885,0.14026318103845034,0.2543585916885712,Acceptable,Positive but thinner edge or less consistent symbol-level behavior.
15,1.5,0.5,0.005,85,14.241536603750577,-1.309753728039911,1.3504627653161343,2951.994574411423,0.1524492990906614,0.29285714285714287,0.8588235294117647,1.0,1.6811406667598736,15.178885095665937,0.1438871112872433,0.06581793229169561,Acceptable,Positive but thinner edge or less consistent symbol-level behavior.
15,1.5,0.75,0.005,86,15.267512625641107,2.730766582539486,1.371773698976386,3687.973843201711,0.1549756702603841,0.30344827586206896,0.9302325581395349,1.0,1.7462713598863704,14.241536603750577,0.1383389667392822,0.06719994586200304,Acceptable,Positive but thinner edge or less consistent symbol-level behavior.
15,2.0,0.75,0.01,84,1.5820099038663658,-10.395462689483129,1.014085541064458,142.38089134797335,0.10820542661669866,0.0,0.25,1.0,1.3862312402979369,12.775114083028377,0.14026318103845034,7.07524279829509,Overfit,"Gate passes mainly via throttles, but edge is weak or not positive on both symbols often enough."
15,1.5,0.75,0.01,79,15.31707622689209,-16.2743889179562,1.1682340171295038,1601.8861725963652,0.1330376802879123,0.0,0.46835443037974683,1.0,1.3638352045665345,15.090257565690768,0.1383389667392822,0.014808221741633496,Overfit,"Gate passes mainly via throttles, but edge is weak or not positive on both symbols often enough."
15,1.5,0.75,0.0075,82,27.553873636861454,-4.64266131973101,1.3959488580111334,3882.9385416491646,0.1364907568826409,0.3181818181818182,0.4878048780487805,1.0,1.7026061246582194,15.31707622689209,0.140719406295621,0.4441044323292181,Overfit,"Gate passes mainly via throttles, but edge is weak or not positive on both symbols often enough."
15,2.0,0.75,0.0075,86,19.68340259325633,-0.8744828211291424,1.276323056876782,1422.9384992512096,0.140719406295621,1.0,0.4418604651162791,1.0,1.0514413588859957,10.198987158411061,0.13814885633196028,0.4818483689448436,Overfit,"Gate passes mainly via throttles, but edge is weak or not positive on both symbols often enough."
15,1.5,0.5,0.01,82,15.090257565690768,-15.1512441985361,1.170817354663382,1618.680182467333,0.1410283602064962,0.0,0.4634146341463415,1.0,1.3638352045665345,14.779306415321333,0.1438871112872433,0.020606086345167116,Overfit,"Gate passes mainly via throttles, but edge is weak or not positive on both symbols often enough."
15,1.5,0.5,0.0075,83,18.889365254532787,-13.922897891960725,1.2748486057375008,2795.6260576708555,0.1451881131572929,0.3181818181818182,0.42168674698795183,1.0,1.711044194071251,14.665897084720672,0.14180723481184496,0.22358973490645115,Overfit,"Gate passes mainly via throttles, but edge is weak or not positive on both symbols often enough."
15,1.5,0.75,0.0025,90,9.389428230133458,9.389428230133458,1.467351481312735,3014.0064618728284,0.1383389667392822,0.33858267716535434,1.0,1.0,1.1203183417999316,15.267512625641107,0.1398069557812797,0.626032198280523,Robust,"Positive expectancy, PF >= 1.25, drawdown <= 15%, and positive on both symbols across most risk variants."
15,2.0,0.75,0.0025,90,10.233151939164664,6.228806307996656,1.465947498993798,3049.479277871058,0.1398069557812797,0.3137254901960784,1.0,1.0,1.136300362089632,9.77712530389546,0.1395291865174516,0.04456365330840867,Robust,"Positive expectancy, PF >= 1.25, drawdown <= 15%, and positive on both symbols across most risk variants."
15,1.5,0.5,0.0025,90,10.071004491503,8.423985912177399,1.5175926542327345,3524.851572026033,0.1425861094171937,0.3250883392226148,1.0,1.0,1.119707407663149,14.665897084720672,0.14310823668189454,0.45624968165731883,Robust,"Positive expectancy, PF >= 1.25, drawdown <= 15%, and positive on both symbols across most risk variants."
