symbol,risk_per_unit_pct,risk_per_unit_percent,dollar_risk_per_unit_at_initial_equity,breakout_signals,valid_non_floored_signals,sub_min_lot_rejections,warmup_rejections,sub_min_lot_rejection_pct,initial_entries,pyramid_events,closed_trade_units,max_raw_lots_on_breakout,min_raw_lots_on_breakout
XAUUSD.var,0.005,0.5,5.0,357,0,356,1,0.9971988795518207,0,0,0,0.004928727507077188,0.0011048718089949406
XAUUSD.var,0.0075,0.75,7.5,357,0,356,1,0.9971988795518207,0,0,0,0.007393091260615783,0.001657307713492411
XAUUSD.var,0.01,1.0,10.0,357,0,356,1,0.9971988795518207,0,0,0,0.009857455014154377,0.002209743617989881
XAUUSD.var,0.0125,1.25,12.5,357,81,275,1,0.7703081232492998,0,0,0,0.012321818767692972,0.0027621795224873516
XAUUSD.var,0.015,1.5,15.0,357,177,179,1,0.5014005602240896,0,0,0,0.014786182521231567,0.003314615426984822
XAUUSD.var,0.02,2.0,20.0,357,246,110,1,0.3081232492997199,0,0,0,0.019714910028308753,0.004419487235979762
XAGUSD.var,0.005,0.5,5.0,99,99,0,0,0.0,25,0,25,0.1122943338052686,0.04395152779811778
XAGUSD.var,0.0075,0.75,7.5,99,99,0,0,0.0,0,0,0,0.16244991718339838,0.06131795937313847
XAGUSD.var,0.01,1.0,10.0,99,99,0,0,0.0,0,0,0,0.21659988957786452,0.08175727916418463
XAGUSD.var,0.0125,1.25,12.5,99,99,0,0,0.0,0,0,0,0.27074986197233064,0.10219659895523078
XAGUSD.var,0.015,1.5,15.0,99,99,0,0,0.0,0,0,0,0.32489983436679676,0.12263591874627694
XAGUSD.var,0.02,2.0,20.0,99,99,0,0,0.0,0,0,0,0.43319977915572905,0.16351455832836925
